ID,taxon,locality
AMNH329017,Z. g. eichorni,Nissan
AMNH329018,Z. g. eichorni,Nissan
AMNH330113,Z. g. pallipides,Rossel 
AMNH330116,Z. g. pallipides,Rossel 
AMNH335071,Z. g. ottomeyeri,Nauna
AMNH335072,Z. g. ottomeyeri,Nauna
AMNH422684,Z. g. sp.,Long Island 
AMNH422685,Z. g. sp.,Long Island 
DPM502,Z. g. griseotinctus,Hummock
DPM503,Z. g. griseotinctus,Hummock
DPM508,Z. g. griseotinctus,Hummock
DPM509,Z. g. griseotinctus,Hummock
DPM510,Z. g. griseotinctus,Hummock
DPM511,Z. g. griseotinctus,Hummock
DPM515,Z. g. griseotinctus,Hummock
DPM517,Z. g. griseotinctus,Hummock
DPM519,Z. g. griseotinctus,Haszard
DPM521,Z. g. griseotinctus,Haszard
DPM523,Z. g. griseotinctus,Haszard
DPM531,Z. g. longirostris,Panapompom
DPM532,Z. g. longirostris,Panapompom
DPM538,Z. g. longirostris,Panapompom
DPM540,Z. g. longirostris,Rara
DPM543,Z. g. longirostris,Rara
DPM545,Z. g. longirostris,Rara
DPM548,Z. g. longirostris,Rara
DPM549,Z. g. longirostris,Rara
DPM553,Z. g. longirostris,Rara
DPM634,Z. g. griseotinctus,Noapoi 
DPM635,Z. g. griseotinctus,Noapoi 
DPM636,Z. g. griseotinctus,Noapoi 
DPM637,Z. g. griseotinctus,Noapoi 
GLGS2246,Z. japonicus,China 
JF3014,Z. atrifrons,Normanby
CAS97869,Z. g. griseotinctus,Duchess
CAS97871,Z. g. griseotinctus,Duchess
CAS97881,Z. g. griseotinctus,Noapoi 
JF3056,Z. g. longirostris,Panamoti 
JF3058,Z. g. longirostris,Panamoti 
JF3065,Z. g. longirostris,Panamoti 
JF3069,Z. g. longirostris,Panamoti 
CAS97899,Z. g. longirostris,Ginetu 
CAS96806,Z. g. griseotinctus,Hummock 
JPD437,Z. g. griseotinctus,Hummock 
JPD438,Z. g. griseotinctus,Hummock 
JPD442,Z. g. griseotinctus,Hummock 
JPD444,Z. g. griseotinctus,Hummock 
JPD451,Z. g. griseotinctus,Hummock 
JPD452,Z. g. griseotinctus,Hummock 
JPD455,Z. g. griseotinctus,Hummock 
JPD457,Z. g. griseotinctus,Hummock 
JPD462,Z. g. griseotinctus,Hummock 
JPD465,Z. g. griseotinctus,Hummock 
JPD466,Z. g. griseotinctus,Hummock 
JPD468,Z. g. griseotinctus,Hummock 
JPD473,Z. g. griseotinctus,Haszard 
JPD475,Z. g. griseotinctus,Haszard 
JPD480,Z. g. griseotinctus,Haszard 
JPD481,Z. g. griseotinctus,Haszard 
CAS96809,Z. g. longirostris,Panapompom 
JPD487,Z. g. longirostris,Panapompom
JPD491,Z. g. longirostris,Panapompom
CAS96810,Z. g. longirostris,Panapompom 
JPD500,Z. g. longirostris,Panapompom 
JPD502,Z. g. longirostris,Panapompom 
JPD509,Z. g. longirostris,Rara 
CAS96808,Z. g. longirostris,Rara 
JPD512,Z. g. longirostris,Rara 
JPD517,Z. g. longirostris,Rara 
JPD780,Z. g. griseotinctus,Duchess 
JPD805,Z. g. griseotinctus,Noapoi 
JPD822,Z. g. longirostris,Panamoti 
JPD823,Z. g. longirostris,Panamoti 
JPD827,Z. g. longirostris,Panamoti 
JPD828,Z. g. longirostris,Panamoti 
JPD830,Z. g. longirostris,Panamoti 
JPD831,Z. g. longirostris,Panamoti 
JPD846,Z. g. longirostris,Eyon 
CAS97937,Z. g. longirostris,Panamoti 
MACD10,Z. g. longirostris,Panamoti 
MACD11,Z. g. longirostris,Panamoti 
MACD12,Z. g. longirostris,Panamoti 
MACD3,Z. g. longirostris,Panamoti 
MACD5,Z. g. longirostris,Panamoti 
MGD26,Z. pallidus,South Africa 
TMB051,Z. g. griseotinctus,Hummock 
CAS96811,Z. g. griseotinctus,Haszard 
CAS97961,Z. g. griseotinctus,Noapoi 
CAS97968,Z. g. longirostris,Panamoti 
ZRH871,Z. g. longirostris,Panamoti 
ZRH873,Z. g. longirostris,Panamoti 
